Video,Type,Vid_num,Global,Action,Interaction
P01,int,1,The man is standing in line at the mart saying something.,I am listening to him.,We are waiting in line for a conversation.
P01,int,2,My friend is smiling at me at the mart.,I am looking at my friend.,We are waiting in line for a conversation.
P01,int,3,A guy is telling me something at the market.,I am listening to him.,We are having a conversation.
P01,int,4,The man looks down and says something to me in the market.,I look down and look at the man.,We are having a conversation.
P01,int,5,He is waiting in line and telling me something.,I am listening to a man.,We are waiting in line.
P01,int,6,He beckons and explaining something to me.,I am listening to a man.,We are waiting in line for a conversation.
P01,int,7,He is telling me something waiting in the line at the counter.,I am telling him something.,We are waiting in line for a conversation.
P01,int,8,He is standing next to me and telling me something.,I am listening to the man.,We are waiting in line for a conversation.
P01,int,9,A man is walking forward and saying something.,I am walking forward little by little.,We are moving forward and talking.
P01,int,10,My friend is following one of the men in the front a little forward.,I am telling him something.,We are in conversation.
P01,int,11,A waitress in front of the counter asks me something.,I place an order.,I order food from the waitress.
P01,int,12,She gives me a receipt at the restaurant.,I receive a receipt.,I get a receipt from her.
P01,int,13,The man is sitting on a chair in a restaurant and preparing to eat.,I am trying to eat lunch.,We are sitting face to face together.
P01,int,14,He is sitting in a restaurant and telling me something.,I am telling him something.,We are sitting and talking to each other.
P01,int,15,He is looking at me in the restaurant and saying something.,I am touching a tissue and listening to him.,We are talking.
P01,int,16,He is holding a fork and a knife on the cafeteria table.,I look down and look at the fork.,We are eating together.
P01,int,17,He is telling me something eating at the restaurant.,I lift my head and I listen to my friend.,We are eating together.
P01,int,18,The man is sitting in a restaurant chair telling me something.,I am listening to a man.,We are eating together.
P01,int,19,He is telling me something at the dining room.,I am telling him something.,I am having a meal with him.
P01,int,20,He tells me something in the restaurant.,I lift my head and look at him.,I have a meal with him.
P01,int,21,A man looks at me while eating in a restaurant.,I look up and see the man in front of me.,We are sitting opposite.
P01,int,22,"The man is listening to me at the restaurant, pointing at the food with a fork.",I am telling him something.,We are talking.
P01,int,23,He opens the lid of the bottle in the restaurant.,I tell him something.,We have a meal.
P01,int,24,He is sitting in the dining room chair telling me something.,I am listening to a guy.,We are talking.
P01,int,25,My friend puts a bottle of water down at the restaurant table.,I am saying something to my friend.,We are talking.
P01,int,26,"My friend is listening to me in the restaurant, touching a spoon and knife.",I am telling a guy something.,We are talking.
P01,int,27,The man eats a potato salad in a restaurant.,I am telling the man something.,We eat together.
P01,int,28,My friend is talking to me over a meal.,I am listening to a guy.,We are having a conversation.
